matricula,nome_colaborador,cpf,lotacao,tipo_afastamento,cid,data_inicio_afastamento,data_fim_afastamento,dias_afastados
25911,Luiza Costa,247.518.906-11,Operações,Auxílio Doença,F32.1,2025-02-21,2025-07-29,158
24878,Lorena Rocha,687.910.425-85,Comercial,Auxílio Acidente,S93.4,2023-02-21,2023-06-23,122
18667,Luiza Rodrigues,305.189.426-51,Operações,Aposentadoria por Invalidez,M54.5,2023-10-31,2024-01-21,82
99243,Agatha Pereira,256.478.309-00,RH,Auxílio Acidente,M54.5,2025-11-14,2026-03-06,112
64246,Sr. Erick Ramos,435.627.809-74,Comercial,Licença Maternidade,Z34.0,2025-05-07,2025-07-11,65
43440,Larissa da Rocha,374.529.816-00,Operações,Auxílio Acidente,F32.1,2024-02-15,2024-08-06,173
34630,Maria Eduarda Monteiro,784.206.913-13,Comercial,Auxílio Acidente,F32.1,2023-02-28,2023-05-06,67
77727,Beatriz da Cunha,251.406.987-49,Comercial,Auxílio Doença,F32.1,2025-02-27,2025-08-23,177
15028,Augusto Lima,837.214.506-71,Comercial,Aposentadoria por Invalidez,S93.4,2023-05-26,2023-08-19,85
38754,Amanda Barbosa,195.703.642-70,Operações,Aposentadoria por Invalidez,S93.4,2024-12-29,2025-05-31,153
75130,Luiz Henrique Almeida,147.325.096-06,Operações,Aposentadoria por Invalidez,M54.5,2024-12-28,2025-01-10,13
52407,Larissa Martins,198.426.307-22,Comercial,Aposentadoria por Invalidez,I10,2025-09-08,2026-01-20,134
34047,Enzo Rodrigues,854.932.067-65,Financeiro,Auxílio Acidente,I10,2023-08-01,2023-10-31,91
89274,Luiz Felipe Aragão,158.279.360-30,Operações,Auxílio Acidente,F32.1,2023-01-03,2023-04-22,109
29425,Anthony da Conceição,968.105.247-11,Financeiro,Auxílio Acidente,I10,2023-11-09,2024-03-07,119
76945,Marcos Vinicius Pereira,305.467.198-48,RH,Auxílio Acidente,F32.1,2024-05-31,2024-07-07,37
98551,Ana Laura Viana,149.578.203-41,RH,Auxílio Doença,S93.4,2024-02-14,2024-04-09,55
54756,Bruno Teixeira,562.491.083-51,TI,Licença Maternidade,M54.5,2023-09-06,2023-09-18,12
35202,Dra. Vitória Castro,361.902.578-95,RH,Aposentadoria por Invalidez,I10,2024-08-10,2024-12-24,136
70274,Pedro Lucas Barbosa,650.392.871-86,Financeiro,Licença Maternidade,I10,2025-12-10,2026-05-24,165
95765,Joaquim Farias,681.793.025-12,Comercial,Auxílio Acidente,I10,2024-11-15,2025-05-14,180
87427,Yasmin Barbosa,064.183.295-89,Comercial,Auxílio Doença,F32.1,2023-01-19,2023-04-29,100
29856,Joana Dias,765.814.923-37,Operações,Aposentadoria por Invalidez,I10,2025-10-08,2026-04-05,179
54536,João Miguel da Mota,534.820.791-88,Comercial,Auxílio Acidente,F32.1,2025-10-28,2026-02-05,100
49800,Bruna da Cruz,280.976.153-12,Financeiro,Aposentadoria por Invalidez,F32.1,2025-03-28,2025-09-18,174
44325,Gustavo Freitas,204.835.769-56,Financeiro,Auxílio Doença,F32.1,2023-03-02,2023-07-27,147
57420,Cauê Carvalho,790.432.615-99,TI,Aposentadoria por Invalidez,I10,2023-01-31,2023-04-03,62
30218,Francisco Rodrigues,281.054.697-58,Financeiro,Auxílio Acidente,S93.4,2024-08-16,2025-01-20,157
23663,Larissa Rodrigues,182.647.509-58,Financeiro,Auxílio Doença,M54.5,2022-12-20,2023-01-17,28
63905,Ana Almeida,815.263.470-08,Operações,Licença Maternidade,M54.5,2025-01-08,2025-02-14,37
88239,Sabrina Rezende,152.038.476-90,RH,Licença Maternidade,S93.4,2023-01-14,2023-03-05,50
81111,Pedro Nogueira,298.753.061-77,Operações,Auxílio Doença,S93.4,2023-10-26,2024-01-30,96
29446,Laura Fogaça,457.920.368-29,Financeiro,Licença Maternidade,F32.1,2025-09-25,2025-10-06,11
12522,Bryan Sales,379.265.841-00,TI,Licença Maternidade,F32.1,2025-09-15,2026-02-26,164
60875,Davi Luiz Novaes,613.704.985-00,Financeiro,Auxílio Acidente,F32.1,2024-01-06,2024-02-21,46
66744,Dr. Pedro Lucas da Cunha,308.956.742-38,TI,Licença Maternidade,F32.1,2023-11-26,2024-02-17,83
76504,Marcela Barros,987.563.412-37,Operações,Aposentadoria por Invalidez,M54.5,2025-02-06,2025-02-24,18
60873,Isaac da Mota,163.049.278-78,Financeiro,Auxílio Doença,S93.4,2024-02-13,2024-07-25,163
12690,Sr. Benício Correia,201.538.467-71,Financeiro,Auxílio Doença,M54.5,2023-08-27,2023-11-06,71
31325,Ana Julia Souza,340.698.175-57,Operações,Auxílio Doença,Z34.0,2025-08-22,2025-12-20,120
13717,Isabelly Melo,073.965.812-30,Operações,Auxílio Acidente,F32.1,2025-03-17,2025-04-11,25
14959,Sra. Maria Luiza Alves,259.176.034-99,Financeiro,Aposentadoria por Invalidez,S93.4,2025-11-12,2026-04-18,157
48771,Luiza Azevedo,741.236.958-09,Operações,Licença Maternidade,I10,2024-09-21,2024-12-12,82
23756,Vitor Alves,952.410.863-15,Financeiro,Aposentadoria por Invalidez,S93.4,2025-01-06,2025-04-15,99
80428,Enrico Duarte,372.540.819-04,TI,Aposentadoria por Invalidez,S93.4,2024-08-16,2024-09-28,43
21006,Heitor Teixeira,520.843.716-35,TI,Auxílio Doença,I10,2023-11-16,2024-01-10,55
99585,Emanuel Monteiro,950.138.476-48,RH,Licença Maternidade,Z34.0,2024-06-27,2024-11-24,150
95317,Ana Sophia Santos,801.563.297-86,Comercial,Auxílio Acidente,S93.4,2023-12-04,2023-12-15,11
89584,Dr. Rafael Teixeira,069.148.523-24,TI,Aposentadoria por Invalidez,I10,2023-02-22,2023-07-30,158
29559,Murilo da Rosa,029.856.341-05,TI,Aposentadoria por Invalidez,F32.1,2023-05-01,2023-08-27,118
57358,Ana Júlia Barbosa,403.187.952-05,Financeiro,Auxílio Acidente,F32.1,2024-05-17,2024-08-05,80
99024,João Felipe Martins,309.621.548-06,Operações,Licença Maternidade,M54.5,2025-12-12,2026-02-21,71
97889,Davi Luiz Rezende,247.310.685-17,TI,Auxílio Acidente,F32.1,2025-04-29,2025-08-13,106
57999,Nicole Costela,603.972.145-61,Comercial,Auxílio Doença,Z34.0,2024-11-28,2025-01-02,35
62787,Enrico Moreira,167.350.829-40,TI,Licença Maternidade,F32.1,2024-04-08,2024-09-07,152
20506,Joana Nascimento,852.703.619-30,RH,Auxílio Acidente,M54.5,2024-08-05,2024-11-17,104
93000,Maria Eduarda da Cunha,024.518.367-17,TI,Licença Maternidade,S93.4,2025-08-02,2026-01-21,172
81427,Luiz Gustavo Cardoso,185.073.962-59,TI,Aposentadoria por Invalidez,Z34.0,2023-02-10,2023-06-01,111
39317,Samuel Silveira,082.543.671-08,TI,Licença Maternidade,Z34.0,2023-01-29,2023-06-07,129
